R	LOG	ID
-0.571	10.58466	1
-0.535	9.154513	2
-0.492	7.617634	3
-0.486	7.450779	4
-0.478	7.178388	5
-0.464	6.753835	6
-0.46	6.632064	7
-0.455	6.496683	8
-0.414	5.377559	9
-0.412	5.309639	10
-0.4	5.026576	11
-0.4	5.029333	12
-0.391	4.805631	13
-0.388	4.732042	14
-0.38	4.547454	15
-0.379	4.532462	16
-0.378	4.505352	17
-0.374	4.426809	18
-0.364	4.200804	19
-0.362	4.148331	20
-0.347	3.841287	21
-0.331	3.515882	22
-0.303	2.993212	23
-0.298	2.914675	24
-0.288	2.738148	25
-0.283	2.656251	26
-0.271	2.462443	27
-0.271	2.47665	28
-0.268	2.420002	29
-0.265	2.376239	30
-0.252	2.181296	31
-0.25	2.152065	32
-0.237	1.972986	33
-0.229	1.863414	34
-0.227	1.834704	35
-0.217	1.696434	36
-0.207	1.579622	37
-0.207	1.575799	38
-0.197	1.452846	39
-0.193	1.414332	40
-0.191	1.392233	41
-0.186	1.332126	42
-0.179	1.250026	43
-0.174	1.203354	44
-0.171	1.168752	45
-0.171	1.16531	46
-0.165	1.108293	47
-0.162	1.076351	48
-0.15	0.961977	49
-0.148	0.938496	50
-0.144	0.903392	51
-0.136	0.833204	52
-0.133	0.809362	53
-0.133	0.806076	54
-0.126	0.742884	55
-0.123	0.718438	56
-0.123	0.718438	57
-0.123	0.718438	58
-0.123	0.718438	59
-0.123	0.718438	60
-0.123	0.718438	61
-0.12	0.699666	62
-0.115	0.655703	63
-0.114	0.645804	64
-0.113	0.640217	65
-0.112	0.630198	66
-0.112	0.630198	67
-0.112	0.628193	68
-0.107	0.59515	69
-0.107	0.593034	70
-0.104	0.569621	71
-0.104	0.56913	72
-0.103	0.564713	73
-0.1	0.538641	74
-0.089	0.463522	75
-0.084	0.432669	76
-0.075	0.372198	77
-0.067	0.321081	78
-0.064	0.305272	79
-0.063	0.295567	80
-0.062	0.293509	81
-0.061	0.287505	82
-0.056	0.256837	83
-0.054	0.246569	84
-0.051	0.227811	85
-0.043	0.188455	86
-0.039	0.1697	87
-0.037	0.158165	88
-0.036	0.153381	89
-0.036	0.152459	90
-0.035	0.146589	91
-0.027	0.112517	92
-0.025	0.100365	93
-0.024	0.099357	94
-0.023	0.09494	95
-0.017	0.067222	96
-0.017	0.065904	97
-0.015	0.05786	98
-0.011	0.042113	99
-0.01	0.038398	100
-0.009	0.035133	101
-0.008	0.032307	102
-0.006	0.022059	103
0	0	104
0.005	0.018808	105
0.008	0.031876	106
0.009	0.034591	107
0.011	0.04212	108
0.022	0.089653	109
0.023	0.091697	110
0.025	0.099879	111
0.025	0.103272	112
0.025	0.103691	113
0.029	0.118376	114
0.032	0.1343	115
0.036	0.151237	116
0.037	0.156089	117
0.038	0.164389	118
0.047	0.208029	119
0.052	0.235511	120
0.054	0.244053	121
0.055	0.25491	122
0.056	0.25519	123
0.06	0.280076	124
0.062	0.29472	125
0.066	0.313903	126
0.066	0.316496	127
0.068	0.330427	128
0.079	0.396577	129
0.083	0.42443	130
0.085	0.434621	131
0.085	0.437217	132
0.085	0.437419	133
0.086	0.443207	134
0.086	0.443207	135
0.089	0.465067	136
0.089	0.465418	137
0.09	0.471904	138
0.094	0.500371	139
0.095	0.507337	140
0.097	0.520117	141
0.103	0.564357	142
0.107	0.594781	143
0.111	0.627184	144
0.113	0.636736	145
0.114	0.643908	146
0.124	0.728961	147
0.129	0.767187	148
0.135	0.821495	149
0.166	1.1192	150
0.171	1.165125	151
0.173	1.189308	152
0.179	1.258688	153
0.194	1.423354	154
0.201	1.507912	155
0.215	1.683519	156
0.216	1.695725	157
0.227	1.834483	158
0.236	1.950025	159
0.237	1.964031	160
0.239	1.997891	161
0.245	2.081067	162
0.245	2.078446	163
0.247	2.113406	164
0.283	2.659901	165
0.287	2.731142	166
0.288	2.750736	167
0.295	2.859218	168
0.316	3.23885	169
0.318	3.265812	170
0.322	3.339682	171
0.343	3.751492	172
0.343	3.748736	173
0.354	3.992611	174
0.355	4.006138	175
0.364	4.193894	176
0.366	4.243215	177
0.373	4.388795	178
0.391	4.809835	179
0.423	5.596722	180
0.533	9.067393	181
