logP	R	ID
5.786856	-0.43	1
5.759613	-0.429	2
5.474029	-0.418	3
4.837933	-0.392	4
4.545068	-0.38	5
4.536821	-0.379	6
4.455414	-0.376	7
4.146035	-0.362	8
3.96652	-0.353	9
3.930222	-0.351	10
3.908691	-0.35	11
3.809342	-0.346	12
3.572491	-0.334	13
3.412232	-0.325	14
3.389865	-0.324	15
3.289607	-0.319	16
3.240383	-0.316	17
3.06072	-0.306	18
2.995223	-0.303	19
2.734585	-0.287	20
2.695823	-0.285	21
2.222439	-0.255	22
2.180365	-0.252	23
2.182854	-0.252	24
1.915676	-0.233	25
1.902808	-0.232	26
1.903211	-0.232	27
1.571869	-0.207	28
1.568812	-0.206	29
1.419601	-0.194	30
1.388597	-0.191	31
1.361627	-0.189	32
1.267224	-0.18	33
1.201844	-0.174	34
1.200208	-0.174	35
1.117591	-0.166	36
1.007151	-0.155	37
0.96199	-0.15	38
0.950837	-0.149	39
0.933917	-0.147	40
0.904503	-0.144	41
0.901005	-0.144	42
0.894751	-0.143	43
0.89161	-0.143	44
0.877488	-0.141	45
0.860731	-0.139	46
0.811587	-0.134	47
0.753742	-0.127	48
0.749559	-0.126	49
0.698555	-0.12	50
0.667009	-0.116	51
0.660481	-0.116	52
0.660481	-0.116	53
0.638706	-0.113	54
0.638706	-0.113	55
0.638706	-0.113	56
0.638706	-0.113	57
0.638706	-0.113	58
0.635095	-0.112	59
0.606827	-0.109	60
0.579225	-0.105	61
0.571314	-0.104	62
0.564766	-0.103	63
0.559238	-0.102	64
0.556025	-0.102	65
0.527579	-0.098	66
0.518834	-0.097	67
0.437776	-0.085	68
0.430275	-0.084	69
0.408628	-0.081	70
0.403739	-0.08	71
0.397235	-0.079	72
0.359591	-0.073	73
0.352392	-0.072	74
0.344996	-0.071	75
0.3298	-0.068	76
0.325833	-0.068	77
0.324684	-0.068	78
0.32397	-0.067	79
0.316352	-0.066	80
0.287012	-0.061	81
0.280523	-0.06	82
0.257786	-0.056	83
0.252435	-0.055	84
0.24376	-0.053	85
0.235351	-0.052	86
0.225756	-0.05	87
0.18953	-0.043	88
0.188744	-0.043	89
0.184856	-0.042	90
0.1498	-0.035	91
0.115035	-0.028	92
0.105761	-0.026	93
0.08183	-0.02	94
0.067214	-0.017	95
0.062464	-0.016	96
0.061786	-0.016	97
0.022298	-0.006	98
0.00795	0.002	99
0.014982	0.004	100
0.02124	0.006	101
0.043595	0.011	102
0.053163	0.014	103
0.06074	0.015	104
0.061065	0.016	105
0.065714	0.017	106
0.080005	0.02	107
0.08183	0.02	108
0.082431	0.021	109
0.099654	0.024	110
0.105928	0.026	111
0.118696	0.029	112
0.12304	0.03	113
0.12687	0.03	114
0.140429	0.033	115
0.146347	0.035	116
0.161253	0.038	117
0.167968	0.039	118
0.171582	0.04	119
0.174557	0.04	120
0.188694	0.043	121
0.220195	0.049	122
0.252692	0.055	123
0.275626	0.059	124
0.280137	0.06	125
0.284373	0.061	126
0.289972	0.062	127
0.327318	0.068	128
0.327651	0.068	129
0.341569	0.07	130
0.362809	0.074	131
0.378221	0.076	132
0.441521	0.086	133
0.464393	0.089	134
0.481489	0.092	135
0.498393	0.094	136
0.524057	0.098	137
0.600428	0.108	138
0.644659	0.114	139
0.72273	0.123	140
0.738638	0.125	141
0.812116	0.134	142
0.823519	0.135	143
0.839412	0.137	144
0.860319	0.139	145
0.861425	0.139	146
0.898051	0.143	147
0.914254	0.145	148
1.023327	0.157	149
1.043195	0.159	150
1.069673	0.161	151
1.081315	0.162	152
1.144648	0.169	153
1.269291	0.18	154
1.346441	0.187	155
1.607784	0.209	156
1.690499	0.216	157
1.776506	0.223	158
1.937791	0.235	159
2.063732	0.244	160
2.246521	0.256	161
2.291311	0.259	162
2.324146	0.262	163
2.330898	0.262	164
2.327301	0.262	165
2.358333	0.264	166
2.40212	0.267	167
3.080682	0.307	168
3.072475	0.307	169
3.127975	0.31	170
3.20851	0.315	171
3.239711	0.316	172
3.258634	0.317	173
3.30749	0.32	174
3.439025	0.327	175
3.721233	0.341	176
3.841015	0.347	177
3.953671	0.353	178
4.802007	0.391	179
6.056642	0.44	180
