MS2.name	LOG_FOLDCHANGE	负log_10(q-value)
Homopterocarpin	-7.2446	0.497900773
Ursolic acid	-6.9306	0.498844847
"3,6-bis[(1H-indol-3-yl)methyl]piperazine-2,5-dione"	-6.7149	0.490004908
arctigenin	-6.6046	0.493846875
Indole-3-carboxylic acid	-6.3893	0.496631564
kaempferol 7-neohesperidoside	-6.2904	1.214292991
Dodecanedioic acid	-6.1839	0.504622197
(-)-Caryophyllene oxide	-6.1426	0.511618522
alpha-TOCHOPHERYL ACETATE	-6.1271	2.74994613
Phloretin	-5.9185	0.494239724
Putrescine	-5.5597	0.525929497
5-Hydroxyindole-3-acetic acid	-5.4097	0.507044153
Cryptotanshinone	-5.1443	0.508680337
Luteolin	-5.1253	0.497900773
Indapamide	-4.7962	2.694734638
Naringeninchalcone	-4.7689	0.498625749
3-GluA Soyasapogenol B	-4.729	0.520741493
4-Hydroxybenzotriazole	-4.6809	0.500189244
3-hydroxy-2-octylpentanedioic acid	-4.5856	0.52245913
4-Toluic acid	-4.5739	0.501537814
3-Indoxyl sulphate	-4.5559	0.981133137
Gallic acid	-4.5278	0.517369346
Tyrosol	-4.4868	0.495597108
4-Hydroxybenzenesulfonic acid	-4.3325	0.771753674
Genistein	-4.2936	0.53469152
"3,8,9-trihydroxy-10-propyl-3,4,5,8,9,10-hexahydro-2H-oxecin-2-one"	-4.2857	0.501537814
2-hydroxyquinoline	-4.218	0.498215237
2'-Hydroxy-a-naphthoflavone	-4.2113	0.521953237
(+/-)19(20)-DiHDPA	-4.1392	1.892247501
aloesin	-4.1134	0.531194981
N-Acetyl-DL-tryptophan	-3.9609	0.540622592
skullcapflavone II	-3.934	0.530811485
Aleuretic Acid	-3.9028	0.526775876
Abruquinone B	-3.8829	0.518887159
Dihydrokaempferol	-3.8699	0.556517964
"2-(2-oxo-8,9-dihydrofuro[2,3-h]chromen-8-yl)propan-2-yl acetate"	-3.672	0.556799618
L-Ascorbic acid 2-sulfate	-3.6695	0.692204552
"DL-3,4-Dihydroxymandelic acid"	-3.6673	0.551757587
ONONETIN	-3.6653	0.520741493
Cholecalciferol	-3.5968	0.541498125
"1H-Isoindole-1,3(2H)-dione"	-3.5787	0.534617149
7alpha-Voacangine hydroxyindolenine	-3.5729	0.517540908
dihydroferulic acid	-3.5392	0.552702396
methyl 2-benzamido-3-phenylpropanoate	-3.4903	0.518887159
Derrusnin	-3.4883	0.512493974
5-Demethylnobiletin	-3.4414	0.526907359
Seneciphyllin	-3.4026	0.517869925
Catechin	-3.386	0.535123129
Triphenylphosphate	-3.381	0.518313776
N8-Acetylspermidine	-3.3618	1.419896515
Gardneramine	-3.3615	0.520539864
Linoleoyl Ethanolamide	-3.3613	0.825184544
Dihydrofolic acid	-3.3202	0.525492361
Propachlor ESA	-3.2851	0.587405069
4-Vinylphenol	-3.2662	0.484271828
Guanosine	-3.2266	1.528239035
Inosine	-3.1734	1.541770202
Homovanillic acid	-3.1723	0.577147628
Nitazoxanide	-3.1098	0.50840021
3-(4-Hydroxyphenyl)-1-propanol	-3.0778	0.665164398
Acetochlor ESA	-3.0388	0.678339443
Benzyl 6-O-beta-D-glucopyranosyl-beta-D-glucopyranoside	-3.0108	0.492467947
Isohomovanillic acid	-3.0016	0.544120163
Pseudouridine	-2.9872	0.927382523
N-Methylisoleucine	-2.9822	0.538021523
17alpha-Hydroxyprogesterone	-2.959	1.963051888
raspberry ketone	-2.9474	0.577147628
Medicagenic acid	-2.9321	0.477751439
"5,6-Dihydroxy-3',4'-dimethoxyflavanone"	-2.9217	0.578593525
Hematoxylin	-2.9041	0.551618363
3-oxo-C14 homoserine lactone	-2.8895	0.578593525
Cucurbitacin I	-2.8892	2.225891974
Indole-2-carboxylic acid	-2.8848	0.629931239
[1-hydroxy-1-(4-methoxyphenyl)propan-2-yl] 4-methoxybenzoate	-2.8687	0.675902828
3-oxo-C10-homoserine lactone	-2.8471	1.040105175
Chrysin	-2.8449	0.534676645
2-decyl-3-hydroxypentanedioic acid	-2.8368	0.760950907
Ethyl oleate	-2.8366	3.006303712
"Deoxysappanone B 7,3'-Dimethyl Ether"	-2.8121	3.052463354
Pygenic acid A b	-2.7637	0.578593525
Daidzein	-2.7291	1.372316733
Thymidine	-2.7254	2.346633098
HIPPURATE	-2.7106	0.535167802
Phenethylamine	-2.7074	7.673193226
N-Acetylputrescine	-2.6926	0.448037934
Nitrendipin	-2.6877	2.346633098
Diffractaic Acid	-2.6856	0.565111879
Sinapinic acid	-2.659	0.614930224
Glycitein	-2.6536	0.920854947
Beta-Peltatin	-2.6303	0.553400707
Cinnamoylglycine	-2.6213	0.84031252
Apigenin	-2.6185	0.86416795
DL-alpha-Aminocaprylic acid	-2.6167	0.546437056
Enterodiol	-2.5987	0.610036964
N-Formyl-L-Methionine	-2.5838	0.98514358
Sphingosine (d18:1)	-2.552	2.157590482
Thymine	-2.5393	2.034262232
Equol	-2.5321	0.735583613
4-deoxyphloridzin	-2.5159	0.540245751
3-O-methylfunicone	-2.5132	0.558132123
4-oxo-5-phenylpentanoic acid	-2.5063	1.930627946
Spermidine	-2.5023	3.059797396
alpha-Linolenoyl ethanolamide	-2.4984	0.524270716
abscisic acid	-2.4958	0.537063212
"methyl 2-(2,6-dihydroxy-4-methylbenzoyl)-3,5-dimethoxybenzoate"	-2.4922	0.583292939
"4,6,8-trihydroxy-7-methoxy-3-methyl-3,4-dihydroisochromen-1-one"	-2.4869	0.526790483
L(-)-Pipecolinic acid	-2.4607	0.58898671
rosmarinic acid	-2.4597	0.524575805
N6-(DELTA2-ISOPENTENYL)-ADENINE	-2.4529	1.715524147
2-Methoxy-4-vinylphenol	-2.4504	0.659397268
Deoxycorticosterone 21-glucoside	-2.4433	0.559799585
eudesmin	-2.4363	0.636952405
Bufalin	-2.417	0.95648054
Nicotine	-2.4088	4.385081702
9-Methyluric acid	-2.3986	2.168136622
15-OxoETE	-2.3929	3.027288159
3-Gal(1-2)GluA Soyasapogenol B	-2.3909	3.292915483
Epinephrine	-2.3836	2.897978143
Succinic acid	-2.3797	0.558729157
Adenosine	-2.3685	2.356201999
Phosphatidylethanolamine lyso 17:0	-2.347	0.765862511
N-Acetylanthranilic acid	-2.3432	0.719467156
"3,4-Dihydroxy-L-phenylalanine"	-2.3335	0.707057577
Uridine monophosphate (UMP)	-2.3197	3.027288159
"7,8-dimethylalloxazine (lumichrome)"	-2.295	2.028826241
13-HpOTrE(r)	-2.2946	0.560272672
N-ACETYL-L-ASPARTIC ACID	-2.2749	1.39833105
3-Ureidopropionic acid	-2.272	0.601435057
Coumafuryl	-2.2666	0.750361454
"2',4',6'-Trihydroxydihydrochalcone"	-2.2643	0.564219318
Rubone	-2.2335	0.672089606
Parfumine	-2.2091	0.516170307
N-Oleoyl-Phenylalanine	-2.1701	0.760000207
5-Aminonaphthalene-2-sulfonic acid	-2.17	0.571395515
3-UREIDOPROPIONATE	-2.1411	0.458770329
1-Methyladenine	-2.123	2.723722063
Lunarine	-2.1118	0.530782
"5-[(Z)-12-(3,5-dihydroxyphenyl)dodec-8-enyl]benzene-1,3-diol"	-2.0891	1.251246208
Stearoyl ethanolamide	-2.0831	2.1599755
Sumaresinolic acid	-2.0735	1.541196018
Dihydrogedunin	-2.0705	0.529192739
Piperonylic Acid	-2.0583	2.606126596
Hippuric acid	-2.0423	0.362860649
4-Hydroxymandelic acid	-2.034	0.799724201
PSEUDO-ANISATIN	-2.0289	6.619047472
terpestacin	-2.0275	1.223182632
3-[4-methyl-1-(2-methylpropanoyl)-3-oxocyclohexyl]butanoic acid	-2.026	2.028135284
N-ACETYL-L-LEUCINE	-2.0173	0.551757587
"3,4,5-trimethoxycinnamic acid"	-2.0084	1.559815346
Phosphatidylethanolamine 18:2-18:2	-2.0039	0.790538605
octadec-9-ynoic acid	-1.9982	2.234860668
Juglalin	-1.9951	0.998050059
O-SUCCINYL-L-HOMOSERINE	-1.9913	0.619246229
Beta-Caryophyllene Alcohol	-1.9886	1.457037711
trans-Aconitic acid	-1.9812	1.695207984
"(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid"	-1.9702	1.15460426
N-Acetylhistamine	-1.9331	1.468751064
Nifekalant	-1.9288	0.600811021
(S)-Equol	-1.9282	0.672089606
Uridine	-1.9274	1.551231863
Flavin mononucleotide (FMN)	-1.924	1.249954688
HYDROQUINONE	-1.9196	2.606126596
DL-Arginine	-1.9016	2.117003288
1-Myristoyl-2-hydroxy-sn-glycero-3-phosphate	-1.8972	3.061765562
2-(8-hydroxyoctyl)-6-methoxybenzoic acid	-1.89	2.478169168
"3,4-Dihydroxyphenylacetic acid"	-1.8882	2.533547604
Prostaglandin A1 ethyl ester	-1.8868	1.217255131
11-Deoxy prostaglandin F2beta	-1.8857	2.425147245
picein	-1.8807	1.471211808
phenylglucoside	-1.8725	1.575543069
2-(6-hydroxyhexyl)-3-methylidenebutanedioic acid	-1.872	2.112697846
sesamin	-1.858	0.631304122
Sodium Tetradecyl Sulfate	-1.8488	0.866812501
4-O-Methylphloracetophenone	-1.8381	0.601435057
DL-Stachydrine	-1.8307	3.184641446
CYCLOSERINE	-1.8291	1.762481395
2'-DEOXYURIDINE 5'-MONO-PHOS-PHATE	-1.8254	2.880612126
Chrysanthemic Acid	-1.8241	0.862013267
LITHOCHOL-11-ENIC ACID	-1.8235	1.843996331
Phenothiazine	-1.8212	1.21827334
N-Acetyl-DL-glutamic acid	-1.8126	2.051758243
Quinic acid	-1.8086	3.454198243
Cetirizine N-Oxide	-1.8031	1.411963717
"13,14-dihydro-15-keto-tetranor Prostaglandin E2"	-1.7879	1.374008851
Methylgallate	-1.7825	0.533414095
Hexadecanedioic acid	-1.7814	3.184335933
"2,3-dinor Prostaglandin E1"	-1.778	2.658051354
L-(+)-Tartaric acid	-1.7727	4.436566381
6-Methylnicotinamide	-1.764	1.214769851
gamma-Glutamyltyrosine	-1.7552	0.607566868
Rhodinyl Acetate	-1.7471	0.52250252
"1,4-dihydroxyanthraquinone"	-1.7449	1.094015337
Stavudine	-1.7339	1.007207973
Thiamine	-1.7255	1.531682214
Butabarbital	-1.7149	1.086270896
3-oxo-C4-homoserine lactone	-1.7125	1.387661258
Tetradecanedioic acid	-1.7094	0.896367295
4-Aminophenol	-1.7001	1.780310711
Ferulic acid	-1.6966	0.607566868
afzelechin	-1.6916	0.813835038
S-Adenosylhomocysteine	-1.6826	0.866972327
Fluometuron	-1.6777	0.841818502
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole"	-1.6766	0.82716364
Erucic acid	-1.6757	2.554707231
Fluvoxamine maleate	-1.6735	1.970129436
Phthalic acid	-1.6548	1.766902312
Atorvastatin	-1.6428	2.743546855
Bisphenol S	-1.6386	2.614197177
Vulpinic Acid	-1.638	2.078558047
Paracetamol	-1.6313	1.113599527
7-Hydroxy-4-methylcoumarin	-1.6308	0.928633563
1-Chlorobenzotriazole	-1.6306	1.546544053
Cetirizine	-1.6247	2.2137385
Sedanolide	-1.6175	4.155510398
