MS2.name	LOG_FOLDCHANGE	负log_10(q-value)
"(3Z,5E)-4-hydroxy-6-(4-hydroxyphenyl)hexa-3,5-dien-2-one"	-9.4843	3.190757
Homopterocarpin	-6.5389	0.190777
"3,6-bis[(1H-indol-3-yl)methyl]piperazine-2,5-dione"	-6.1641	0.190777
Dodecanedioic acid	-5.6427	0.190777
Phloretin	-5.5128	0.190777
alpha-TOCHOPHERYL ACETATE	-5.3914	1.089819
L-(+)-Citrulline	-5.3125	1.724136
arctigenin	-5.2335	0.190777
Ursolic acid	-5.2232	0.190777
Linoleoyl Ethanolamide	-4.9692	0.313498
(-)-Caryophyllene oxide	-4.9068	0.190777
Indole-3-carboxylic acid	-4.8266	0.190777
Cryptotanshinone	-4.6979	0.190777
Luteolin	-4.3914	0.190777
Gallic acid	-4.2254	0.190777
Genistein	-4.1541	0.190777
Naringeninchalcone	-4.1236	0.190777
5-Hydroxyindole-3-acetic acid	-4.055	0.190777
4-Hydroxybenzotriazole	-3.9718	0.190777
4-Toluic acid	-3.9287	0.190777
Tyrosol	-3.9253	0.190777
Dihydrokaempferol	-3.8394	0.190777
"3,8,9-trihydroxy-10-propyl-3,4,5,8,9,10-hexahydro-2H-oxecin-2-one"	-3.7777	0.190777
3-GluA Soyasapogenol B	-3.7433	0.190777
aloesin	-3.6227	0.190777
3-hydroxy-2-octylpentanedioic acid	-3.6078	0.190777
Putrescine	-3.5149	0.190777
2-hydroxyquinoline	-3.399	0.188666
Propachlor ESA	-3.2897	0.195663
GENTAMICIN SULFATE	-3.2341	0.673357
"DL-3,4-Dihydroxymandelic acid"	-3.1467	0.190777
ONONETIN	-3.1032	0.190777
Glycitein	-3.0991	0.334035
dihydroferulic acid	-3.0333	0.190777
Taurine	-3.0307	0.387672
eudesmin	-3.0223	0.23554
Derrusnin	-3.0193	0.190777
4-Methylcatechol	-2.9852	0.714173
methyl 2-benzamido-3-phenylpropanoate	-2.9771	0.190777
Cholecalciferol	-2.9356	0.190777
7alpha-Voacangine hydroxyindolenine	-2.9325	0.190777
skullcapflavone II	-2.8721	0.190777
"1H-Isoindole-1,3(2H)-dione"	-2.8597	0.190777
Abruquinone B	-2.8317	0.188666
Triphenylphosphate	-2.7971	0.190777
5-Demethylnobiletin	-2.7946	0.190777
N-Acetyl-DL-tryptophan	-2.7923	0.190777
Gardneramine	-2.7504	0.190777
Apigenin	-2.7179	0.309937
