MS2.name	LOG_FOLDCHANGE	负log_10(q-value)
Garcinolic Acid	-6.7489	0.348015
Nifekalant	-5.0596	0.422497
"N-cyano-N'-(1,1-dimethylpropyl)-N'-3-pyridinyl-guanidine"	-4.9439	0.247038
3-Indoxyl sulphate	-4.8134	0.475968
Melatonin	-4.0867	0.500066
Deacetoxy-7-Oxogedunin	-3.8079	0.264745
Dichlorprop	-3.614	0.408312
4-Hydroxybenzenesulfonic acid	-3.5345	0.502946
Dehydrocholic acid	-3.3874	0.240136
Cinnamoylglycine	-3.3571	0.323224
barceloneic acid A	-3.2056	0.246455
3-Hydroxysebacic acid	-3.1968	0.242763
N-Acetylanthranilic acid	-3.1475	0.330999
trans-Cinnamic acid	-3.1219	2.465707
Thymidine 5'-monophosphate	-3.0562	0.267751
11(E)-Eicosenoic Acid	-3.0407	2.465707
N-Formyl-L-Methionine	-3.0234	0.345371
Phenylacetylglycine	-2.8065	0.432033
N-ACETYL-L-LEUCINE	-2.7142	0.40098
3-oxo-C10-homoserine lactone	-2.67	0.5018
Meprednisone	-2.6209	0.26409
Mannitol	-2.5595	0.328087
"2-(14,15-Epoxyeicosatrienoyl) glycerol"	-2.5519	3.075948
L-Cysteine-S-sulfate	-2.5299	0.407124
Propachlor ESA	-2.454	0.978563
3-hydroxy-C8-homoserine lactone	-2.4276	0.394426
"3,6-bis[(1H-indol-3-yl)methyl]piperazine-2,5-dione"	-2.3868	0.749409
Scaposin	-2.3843	0.489683
Procaine	-2.3689	0.466342
Folinic acid	-2.3559	0.260982
8-acetamido-2-methyl-7-oxononanoic acid	-2.2774	0.343633
skullcapflavone II	-2.2634	0.667582
Vanillin	-2.235	0.565511
Sorbitol	-2.2272	0.36637
4-Toluic acid	-2.2241	1.417357
1-Myristoyl-2-hydroxy-sn-glycero-3-phosphate	-2.2156	0.769117
Fluometuron	-2.2145	0.468943
Bisphenol S	-2.2067	0.418414
5-Ethyl-2'-deoxyuridine	-2.1929	0.254519
3-oxo-C8-homoserine lactone	-2.1264	0.431951
2'-Deoxycytidine 5'-monophosphate (dCMP)	-2.1188	0.323508
3-[3-(beta-D-Glucopyranosyloxy)-2-hydroxyphenyl]propanoic acid	-2.0862	1.236729
HIPPURATE	-2.0677	0.738285
Homovanillic acid	-2.04	1.374492
Isohomovanillic acid	-2.0326	1.374492
Tyrosol	-2.0306	1.131197
DL-Dipalmitoylphosphatidylcholine	-1.998	0.703159
Isorhamnetin	-1.9889	1.032803
L-Cysteinesulfinic acid	-1.9824	1.135661
Flecainide	-1.9682	0.56002
Lupinine	-1.9131	1.428839
Chrysin	-1.9125	0.246815
Malonic acid	-1.9118	0.365221
Daphnoretin	-1.9052	0.29701
10-Hydroxydecanoic acid	-1.8908	0.268371
N-Acetyl-DL-tryptophan	-1.8877	1.248629
L-Ascorbic acid 2-sulfate	-1.8425	0.631713
"1H-Isoindole-1,3(2H)-dione"	-1.8404	0.775622
alpha-Aspartylphenylalanine	-1.8375	0.486689
P-Toluenesulfonic acid	-1.8055	0.276134
arctigenin	-1.7844	0.83538
gamma-Glutamylleucine	-1.7771	0.486689
4-Aminohippuric acid	-1.7579	0.657972
Astilbin	-1.7579	0.510548
L(-)-Pipecolinic acid	-1.7385	0.722712
DL-Arginine	-1.7319	0.598427
Genistein	-1.708	0.734475
