MS2.name	LOG_FOLDCHANGE	负log_10(q-value)
"N-cyano-N'-(1,1-dimethylpropyl)-N'-3-pyridinyl-guanidine"	-6.6853	0.281149687
Garcinolic Acid	-5.8472	0.384586576
Dehydrocholic acid	-4.3197	0.278263559
Melatonin	-4.1285	0.578659362
barceloneic acid A	-4.0984	0.289197448
Kanosamine	-3.7305	1.146977477
Nifekalant	-3.4279	0.441207458
"1,3,6-trihydroxy-2-(3-methylbut-2-enyl)xanthen-9-one"	-3.2004	0.980136286
5-Methyluridine	-3.1693	1.28946801
Pseudouridine	-3.1464	0.915137861
Dichlorprop	-3.119	0.443058591
Phloretin	-3.1179	1.069473759
Daphnoretin	-3.0701	0.40999458
Thymidine 5'-monophosphate	-2.9333	0.293077491
3-Hydroxysebacic acid	-2.7959	0.253942129
skullcapflavone II	-2.7954	0.84863015
Deacetoxy-7-Oxogedunin	-2.7352	0.265448181
D-Sedoheptulose 7-phosphate	-2.6951	0.525710874
Inosine	-2.65	0.787759111
N-Acetylanthranilic acid	-2.6085	0.336421561
Emetine	-2.5592	1.088347098
Scaposin	-2.5544	0.585260566
lenticin	-2.4981	1.248666998
Chrysin	-2.491	0.311571279
Luteolin	-2.4669	0.973752819
N-acetyl-2-phenylethylamine	-2.4469	0.528502928
3-Indoxyl sulphate	-2.4319	0.439746556
P-Toluenesulfonic acid	-2.3437	0.349177847
Folinic acid	-2.2495	0.281872148
5-Ethyl-2'-deoxyuridine	-2.2145	0.282820644
"1,4-Androstadiene-3,17-dione"	-2.2092	1.656118962
11(E)-Eicosenoic Acid	-2.2056	2.348470013
L(-)-Pipecolinic acid	-2.166	0.933748638
2'-Deoxycytidine 5'-monophosphate (dCMP)	-2.1604	0.350022938
Prulaurasin	-2.1427	0.511900733
"7,8-dimethylalloxazine (lumichrome)"	-2.1408	0.871730005
2'-DEOXYURIDINE 5'-MONO-PHOS-PHATE	-2.1235	1.798602876
"2-(14,15-Epoxyeicosatrienoyl) glycerol"	-2.0788	2.791102015
Vanillin	-2.0646	0.631211223
N-Formyl-L-Methionine	-2.0504	0.320717498
N-Acetylhistamine	-2.0475	0.351620471
Cinnamoylglycine	-2.045	0.289814914
Propachlor ESA	-2.0305	1.034365632
Rubone	-2.029	0.497764121
Pygenic acid A b	-1.9878	0.996798053
1-Myristoyl-2-hydroxy-sn-glycero-3-phosphate	-1.9852	0.834251318
Aleuretic Acid	-1.9487	1.829532924
Dimethachlor OXA	-1.9471	1.663780495
M-Coumaric acid	-1.9368	1.949658918
"(3S,9aS)-3-benzyl-octahydro-1H-pyrido[1,2-a]pyrazin-1-one"	-1.9226	1.28946801
D-Glucose 6-phosphate	-1.8992	0.409236163
Isoamylamine	-1.8858	0.383724087
"1,7-bis(4-hydroxyphenyl)heptane-3,5-diol"	-1.8577	0.656768705
Mannitol	-1.8552	0.306510483
Meprednisone	-1.8455	0.244033724
Putrescine	-1.8417	0.856048884
Uridine	-1.8411	1.929999096
2'-Hydroxy-a-naphthoflavone	-1.7714	0.781937382
3-(5-phenylthiophen-2-yl)prop-2-ynyl Acetate	-1.7711	2.42335924
N-Acetyl-DL-tryptophan	-1.752	1.335828295
Thiamine	-1.7496	1.663780495
4-Toluic acid	-1.7493	1.340368988
4-Aminohippuric acid	-1.7327	0.733744778
O-Succinylhomoserine	-1.7244	0.899388247
"3,4-DIHYDROXYPHENYLACETATE"	-1.7215	1.22469545
Ethyl-beta-glucuronide	-1.7184	0.63425002
"1H-Isoindole-1,3(2H)-dione"	-1.7172	0.877554744
Asiatic acid	-1.7119	1.656118962
10-Hydroxydecanoic acid	-1.71	0.281872148
3-Hydroxyphenylacetic acid	-1.7097	1.420731004
Guanosine	-1.7042	0.544180976
Ursolic acid	-1.6865	1.275412861
Histamine-trifluoromethyltoluide	-1.677	1.344467804
3-oxo-C14 homoserine lactone	-1.6673	0.903820215
Bisphenol S	-1.6495	0.395061511
Irbesartan (Avapro)	-1.6426	0.712960072
(4-chloro-2-methylphenoxy)acetic acid	-1.6362	0.553431769
(+/-)-Abscisic acid	-1.6261	1.656118962
Isohomovanillic acid	-1.6093	1.254714361
8-acetamido-2-methyl-7-oxononanoic acid	-1.5957	0.30835279
Catechin	-1.5887	0.713319031
N-Acetyl-D-galactosamine 4-sulfate	-1.587	0.796124377
DL-Dipalmitoylphosphatidylcholine	-1.5845	0.690199554
Murocholic acid	-1.5822	0.909988976
HIPPURATE	-1.5769	0.72434319
Homovanillic acid	-1.5763	1.250225048
Pipecolic acid	-1.5735	0.897189109
"2-(2-oxo-8,9-dihydrofuro[2,3-h]chromen-8-yl)propan-2-yl acetate"	-1.5649	1.146630371
Genistein	-1.5639	0.800985729
Cytarabine	-1.5588	0.717695172
"2,3-Dideoxyuridine"	-1.5522	2.289003085
Dihydrokaempferol	-1.5516	0.796124377
4-Thiouridine	-1.5513	0.776945587
N6-(DELTA2-ISOPENTENYL)-ADENINE	-1.5479	0.780860998
N-ACETYL-DL-METHIONINE	-1.5414	1.043721088
Triphenylphosphate	-1.5273	1.108719069
Citrazinc acid	-1.5267	0.579549141
ISOPALMITIC ACID	-1.5128	0.888771102
4- Carboxyphenylglycine	-1.5079	0.909988976
N-Acetyl-L-methionine	-1.4941	1.024908407
Patulin	-1.4903	1.096600688
phenylglucoside	-1.4869	1.367461728
Syringic Acid	-1.4854	0.934308272
4-Hydroxybenzenesulfonic acid	-1.4772	0.349177847
3-[3-(beta-D-Glucopyranosyloxy)-2-hydroxyphenyl]propanoic acid	-1.4698	1.03645299
Tyrosol	-1.4671	0.957463863
3-oxo-C10-homoserine lactone	-1.4612	0.402217087
Kynurenic acid	-1.4447	0.658110644
feruloyltyramine	-1.437	0.563169721
"5-[(Z)-14-(3,5-dihydroxyphenyl)tetradec-10-enyl]benzene-1,3-diol"	-1.4364	0.462659522
Tagatose	-1.427	1.419599686
"3,6-bis[(1H-indol-3-yl)methyl]piperazine-2,5-dione"	-1.3842	0.594107486
6-Methylquinoline	-1.3811	0.314688291
L-alpha-Phosphatidylethanolamine (Soy)	-1.3807	0.400160578
Mimosine	-1.3791	1.647836784
3-Hydroxymandelic acid	-1.3786	1.794146305
N-Acetyl-D-alloisoleucine	-1.3778	1.176199846
Paracetamol	-1.3765	0.655961594
Perseitol	-1.3668	0.666250538
Xylose	-1.3627	1.110894475
Prolylleucine	-1.3607	0.445111255
3-UREIDOPROPIONATE	-1.357	0.820189777
Methyl-beta-galactopyranoside	-1.3533	0.496182089
Equol	-1.3379	1.048749932
Pantothenic acid	-1.3194	1.068150729
Salvinorin B	-1.3175	1.090091116
N-Acetylcysteine	-1.3154	0.408289999
rosmarinic acid	-1.3029	0.397104795
L-Cysteinesulfinic acid	-1.2952	0.949620244
Phenylacetylglycine	-1.2923	0.293469969
3-hydroxy-C8-homoserine lactone	-1.2748	0.285410412
sulochrin	-1.2706	0.608059765
Lumazine	-1.2702	0.892281389
Dihydrogedunin	-1.2679	0.737050825
Isobutyric acid	-1.2633	1.185639183
Cryptotanshinone	-1.2587	0.574759321
L-Ascorbic acid 2-sulfate	-1.2509	0.532436288
2-Hydroxyhippuric acid	-1.2504	0.496114028
O-SUCCINYL-L-HOMOSERINE	-1.2412	0.951325185
CRUSTECDYSONE	-1.2374	0.803298888
Parfumine	-1.2349	0.305447446
Metaxalone	-1.2286	1.237366443
Naringeninchalcone	-1.2259	0.738998977
Ctrinin hydrate	-1.2218	1.671436931
Leucylproline	-1.216	1.004953037
Butabarbital	-1.205	0.720082223
"4-Hydroxy-2',4',6'-trimethoxychalcone"	-1.2038	0.225395454
Methylsuccinic acid	-1.2016	1.034365632
Chrysanthemic Acid	-1.2015	1.185639183
gamma-Glutamylleucine	-1.1962	0.420330706
CHENODIOL	-1.1952	0.67194675
Fluometuron	-1.1928	0.347183357
Sinapic acid	-1.1872	0.3357342
Derrusnin	-1.1834	1.548843211
Mevalonic acid	-1.183	0.897189109
adrenosterone	-1.1809	1.973589319
Procaine	-1.1729	0.329373842
DL-alpha-Aminocaprylic acid	-1.1549	0.98514358
Phosphatidylinositol lyso 20:4	-1.1517	0.28325398
Malonic acid	-1.151	0.282154816
Flavin mononucleotide (FMN)	-1.1503	0.558902135
DL-beta-Hydroxybutyric acid	-1.1401	0.871730005
4-oxododecanedioic acid	-1.1399	0.925073903
arctigenin	-1.1206	0.685437622
Lupinine	-1.1193	0.925073903
3-Deoxo-3Beta-Hydroxymexicanolide 16-Enol Ether	-1.1174	0.382622176
Genipin	-1.1168	0.668329809
3-Methoxyphenylacetic acid	-1.1092	1.576688577
Tebufenozide	-1.1057	0.649461257
2-Hydroxycinnamic acid	-1.1035	0.193731819
N-Acetylputrescine	-1.1024	0.475993554
Tetradecanedioic acid	-1.1017	1.115476509
Sorbitol	-1.1006	0.256121947
3-oxo-C8-homoserine lactone	-1.0993	0.302849151
N-acetyl-O-methyltyrosine	-1.0991	0.608059765
Phosphatidylethanolamine lyso 18:1	-1.0947	0.651870448
Phloroglucinol	-1.0932	0.45666467
raspberry ketone	-1.0869	0.934756499
Prostaglandin A1 ethyl ester	-1.083	1.263436187
Spermidine	-1.0755	0.354391083
Porphobilinogen	-1.0748	0.508694348
2'-Deoxyinosine-5'-monophosphate sodium salt	-1.0657	0.575248998
Emodin	-1.0594	0.783754902
3-hydroxy-2-octylpentanedioic acid	-1.0567	0.781937382
Bufexamac	-1.0564	0.249314221
(S)-Equol	-1.0543	1.066421611
URSODIOL	-1.0363	1.143863459
Pinoquercetin	-1.0342	0.554380231
"3,3-Dimethylglutaric acid"	-1.0314	0.725449615
Stearoyl ethanolamide	-1.0289	0.584676017
Phosphatidylinositol lyso 18:0	-1.0202	0.426339488
Nicotinuric acid	-1.0077	0.383724087
Medicagenic acid	-1.0051	1.421911169
"3-[(Z)-heptadec-10-enyl]benzene-1,2-diol"	-1.005	2.623331814
3-Hydroxy-3-methylglutaric acid	-1.0035	1.39670403
alpha-Aspartylphenylalanine	-0.99937	0.336562934
L-Histidine	-0.98935	0.32922552
N-Isobutyrylglycine	-0.985	0.275044541
Itaconic acid	-0.98363	1.934793872
Hematein	-0.98027	0.533785053
7-Hydroxy-3-Methylflavone	-0.97686	0.411851594
4-Hydroxymandelic acid	-0.97393	0.749043561
Orotic acid	-0.97314	0.585126885
8-Hydroxyquinoline	-0.9725	0.236033217
Cyclo(proline-leucine)	-0.96875	0.948654501
