logp	R	ID
0	-0.569	1
-0.30103	-0.542	2
-0.47712	-0.54	3
-0.60206	-0.537	4
-0.69897	-0.537	5
-0.77815	-0.522	6
-0.8451	-0.516	7
-0.90309	-0.516	8
-0.95424	-0.515	9
-1	-0.515	10
-1.04139	-0.514	11
-1.07918	-0.513	12
-1.11394	-0.51	13
-1.14613	-0.509	14
-1.17609	-0.507	15
-1.20412	-0.506	16
-1.23045	-0.502	17
-1.25527	-0.502	18
-1.27875	-0.5	19
-1.30103	-0.5	20
-1.32222	-0.499	21
-1.34242	-0.497	22
-1.36173	-0.495	23
-1.38021	-0.495	24
-1.39794	-0.491	25
-1.41497	-0.49	26
-1.43136	-0.489	27
-1.44716	-0.488	28
-1.4624	-0.488	29
-1.47712	-0.487	30
-1.49136	-0.486	31
-1.50515	-0.485	32
-1.51851	-0.485	33
-1.53148	-0.485	34
-1.54407	-0.485	35
-1.5563	-0.484	36
-1.5682	-0.484	37
-1.57978	-0.482	38
-1.59106	-0.482	39
-1.60206	-0.482	40
-1.61278	-0.48	41
-1.62325	-0.479	42
-1.63347	-0.479	43
-1.64345	-0.478	44
-1.65321	-0.478	45
-1.66276	-0.478	46
-1.6721	-0.478	47
-1.68124	-0.477	48
-1.6902	-0.477	49
-1.69897	-0.476	50
-1.70757	-0.476	51
-1.716	-0.476	52
-1.72428	-0.475	53
-1.73239	-0.475	54
-1.74036	-0.475	55
-1.74819	-0.475	56
-1.75587	-0.474	57
-1.76343	-0.474	58
-1.77085	-0.474	59
-1.77815	-0.474	60
-1.78533	-0.473	61
-1.79239	-0.472	62
-1.79934	-0.472	63
-1.80618	-0.472	64
-1.81291	-0.472	65
-1.81954	-0.471	66
-1.82607	-0.471	67
-1.83251	-0.471	68
-1.83885	-0.471	69
-1.8451	-0.47	70
-1.85126	-0.47	71
-1.85733	-0.47	72
-1.86332	-0.469	73
-1.86923	-0.469	74
-1.87506	-0.468	75
-1.88081	-0.468	76
-1.88649	-0.467	77
-1.89209	-0.467	78
-1.89763	-0.467	79
-1.90309	-0.467	80
-1.90849	-0.467	81
-1.91381	-0.466	82
-1.91908	-0.466	83
-1.92428	-0.466	84
-1.92942	-0.465	85
-1.9345	-0.465	86
-1.93952	-0.464	87
-1.94448	-0.464	88
-1.94939	-0.463	89
-1.95424	-0.462	90
-1.95904	-0.462	91
-1.96379	-0.462	92
-1.96848	-0.462	93
-1.97313	-0.461	94
-1.97772	-0.461	95
-1.98227	-0.461	96
-1.98677	-0.46	97
-1.99123	-0.46	98
-1.99564	-0.46	99
-2	-0.46	100
-2.00432	-0.459	101
-2.0086	-0.458	102
-2.01284	-0.458	103
-2.01703	-0.458	104
-2.02119	-0.458	105
-2.02531	-0.458	106
-2.02938	-0.458	107
-2.03342	-0.458	108
-2.03743	-0.456	109
-2.04139	-0.456	110
-2.04532	-0.455	111
-2.04922	-0.454	112
-2.05308	-0.454	113
-2.0569	-0.453	114
-2.0607	-0.453	115
-2.06446	-0.453	116
-2.06819	-0.452	117
-2.07188	-0.452	118
-2.07555	-0.452	119
-2.07918	-0.452	120
-2.08279	-0.451	121
-2.08636	-0.45	122
-2.08991	-0.45	123
-2.09342	-0.45	124
-2.09691	-0.448	125
-2.10037	-0.448	126
-2.1038	-0.448	127
-2.10721	-0.447	128
-2.11059	-0.447	129
-2.11394	-0.447	130
-2.11727	-0.446	131
-2.12057	-0.446	132
-2.12385	-0.446	133
-2.1271	-0.446	134
-2.13033	-0.446	135
-2.13354	-0.446	136
-2.13672	-0.445	137
-2.13988	-0.445	138
-2.14301	-0.445	139
-2.14613	-0.445	140
-2.14922	-0.445	141
-2.15229	-0.444	142
-2.15534	-0.444	143
-2.15836	-0.444	144
-2.16137	-0.444	145
-2.16435	-0.444	146
-2.16732	-0.443	147
-2.17026	-0.443	148
-2.17319	-0.443	149
-2.17609	-0.443	150
-2.17898	-0.443	151
-2.18184	-0.443	152
-2.18469	-0.441	153
-2.18752	-0.441	154
-2.19033	-0.441	155
-2.19312	-0.441	156
-2.1959	-0.441	157
-2.19866	-0.44	158
-2.2014	-0.44	159
-2.20412	-0.44	160
-2.20683	-0.44	161
-2.20952	-0.439	162
-2.21219	-0.439	163
-2.21484	-0.439	164
-2.21748	-0.438	165
-2.22011	-0.438	166
-2.22272	-0.438	167
-2.22531	-0.437	168
-2.22789	-0.437	169
-2.23045	-0.437	170
-2.233	-0.437	171
-2.23553	-0.436	172
-2.23805	-0.436	173
-2.24055	-0.436	174
-2.24304	-0.435	175
-2.24551	-0.435	176
-2.24797	-0.435	177
-2.25042	-0.434	178
-2.25285	-0.434	179
-2.25527	-0.434	180
-2.25768	-0.434	181
-2.26007	-0.433	182
-2.26245	-0.432	183
-2.26482	-0.432	184
-2.26717	-0.432	185
-2.26951	-0.432	186
-2.27184	-0.431	187
-2.27416	-0.431	188
-2.27646	-0.431	189
-2.27875	-0.431	190
-2.28103	-0.431	191
-2.2833	-0.431	192
-2.28556	-0.431	193
-2.2878	-0.431	194
-2.29003	-0.43	195
-2.29226	-0.43	196
-2.29447	-0.429	197
-2.29667	-0.429	198
-2.29885	-0.428	199
-2.30103	-0.428	200
-2.3032	-0.428	201
-2.30535	-0.428	202
-2.3075	-0.427	203
-2.30963	-0.427	204
-2.31175	-0.427	205
-2.31387	-0.427	206
-2.31597	-0.427	207
-2.31806	-0.427	208
-2.32015	-0.426	209
-2.32222	-0.426	210
-2.32428	-0.426	211
-2.32634	-0.426	212
-2.32838	-0.426	213
-2.33041	-0.425	214
-2.33244	-0.424	215
