logp	R	ID
-1.08151	-0.654	1
-1.06997	-0.647	2
-1.06181	-0.642	3
-1.05859	-0.641	4
-1.05481	-0.638	5
-1.05076	-0.636	6
-1.04239	-0.631	7
-1.041	-0.63	8
-1.03695	-0.628	9
-1.03762	-0.628	10
-1.03608	-0.627	11
-1.03603	-0.627	12
-1.03408	-0.626	13
-1.03207	-0.625	14
-1.02896	-0.623	15
-1.02604	-0.621	16
-1.02413	-0.62	17
-1.0217	-0.619	18
-1.02134	-0.618	19
-1.02131	-0.618	20
-1.02003	-0.618	21
-1.0185	-0.617	22
-1.01851	-0.617	23
-1.01802	-0.616	24
-1.01592	-0.615	25
-1.01604	-0.615	26
-1.01389	-0.614	27
-1.01379	-0.614	28
-1.01443	-0.614	29
-1.01319	-0.613	30
-1.01061	-0.612	31
-1.0076	-0.61	32
-1.005	-0.609	33
-1.00334	-0.608	34
-0.99921	-0.605	35
-0.99808	-0.604	36
-0.9968	-0.604	37
-0.99638	-0.603	38
-0.99361	-0.602	39
-0.9938	-0.602	40
-0.99295	-0.601	41
-0.9921	-0.601	42
-0.99219	-0.601	43
-0.99014	-0.6	44
-0.9911	-0.6	45
-0.98841	-0.599	46
-0.98653	-0.598	47
-0.98716	-0.598	48
-0.98719	-0.598	49
-0.98743	-0.598	50
-0.9871	-0.598	51
-0.98619	-0.597	52
-0.98346	-0.596	53
-0.98181	-0.595	54
-0.98039	-0.594	55
-0.98114	-0.594	56
-0.9759	-0.591	57
-0.97573	-0.591	58
-0.97381	-0.59	59
-0.97339	-0.59	60
-0.96695	-0.586	61
-0.96699	-0.586	62
-0.96572	-0.585	63
-0.96417	-0.585	64
-0.96562	-0.585	65
-0.96408	-0.584	66
-0.96137	-0.583	67
-0.95816	-0.581	68
-0.95632	-0.58	69
-0.95591	-0.58	70
-0.95534	-0.579	71
-0.95498	-0.579	72
-0.95433	-0.579	73
-0.95412	-0.579	74
-0.95339	-0.578	75
-0.95333	-0.578	76
-0.95263	-0.578	77
-0.95289	-0.578	78
-0.95371	-0.578	79
-0.95078	-0.577	80
-0.95191	-0.577	81
-0.95141	-0.577	82
-0.94923	-0.576	83
-0.94919	-0.576	84
-0.94907	-0.576	85
-0.94827	-0.575	86
-0.9462	-0.574	87
-0.94618	-0.574	88
-0.94587	-0.574	89
-0.94676	-0.574	90
-0.94628	-0.574	91
-0.94687	-0.574	92
-0.94497	-0.573	93
-0.94425	-0.573	94
-0.94293	-0.572	95
-0.94322	-0.572	96
-0.94147	-0.571	97
-0.94081	-0.571	98
-0.94132	-0.571	99
-0.9396	-0.57	100
-0.93899	-0.57	101
-0.93941	-0.57	102
-0.93875	-0.57	103
-0.93938	-0.57	104
-0.93905	-0.57	105
-0.93896	-0.57	106
-0.93741	-0.569	107
-0.93508	-0.568	108
-0.9356	-0.568	109
-0.93422	-0.567	110
-0.93489	-0.567	111
-0.93266	-0.566	112
-0.9317	-0.566	113
-0.92817	-0.564	114
-0.92882	-0.564	115
-0.929	-0.564	116
-0.9278	-0.563	117
-0.92695	-0.563	118
-0.92679	-0.563	119
-0.92426	-0.561	120
-0.92401	-0.561	121
-0.92417	-0.561	122
-0.92436	-0.561	123
-0.92432	-0.561	124
-0.92237	-0.56	125
-0.92195	-0.56	126
-0.91978	-0.559	127
-0.92103	-0.559	128
-0.91943	-0.559	129
-0.91918	-0.558	130
-0.91813	-0.558	131
-0.91808	-0.558	132
-0.91761	-0.557	133
-0.91676	-0.557	134
-0.91421	-0.556	135
-0.9153	-0.556	136
-0.91507	-0.556	137
-0.9136	-0.555	138
-0.91321	-0.555	139
-0.9115	-0.554	140
-0.91093	-0.554	141
-0.91196	-0.554	142
-0.91077	-0.554	143
-0.91195	-0.554	144
-0.91239	-0.554	145
-0.90963	-0.553	146
-0.90993	-0.553	147
-0.90981	-0.553	148
-0.91058	-0.553	149
-0.91064	-0.553	150
-0.90919	-0.553	151
-0.9076	-0.552	152
-0.90823	-0.552	153
-0.90555	-0.551	154
-0.90705	-0.551	155
-0.90592	-0.551	156
-0.90628	-0.551	157
-0.90571	-0.551	158
-0.90383	-0.55	159
-0.90546	-0.55	160
-0.90517	-0.55	161
-0.90451	-0.55	162
-0.90408	-0.55	163
-0.90368	-0.549	164
-0.90356	-0.549	165
-0.90265	-0.549	166
-0.90075	-0.548	167
